ogc_fid,cartodb_id,menu,homemade_pierogies,lunch,publish,etc,website,email,phone,handicap,take_out,alcohol,venue_address,venue_type,venue_notes,venue_name,validated,GEOMETRY
84,87,,,,1,Call for details,,,724-335-8130,,,,"601 Drey St., Arnold, PA",Fire Department,In the Public Safety Building,Arnold Volunteer Fire Company,1,
85,88,Hand-battered Icelandic cod on a fresh baked bun with fresh cut fries and homemade coleslaw- $9.00; Jumbo golden breaded butterfly shrimp basket with fresh cut fries and homemade coleslaw- $9.50; Pierogies with butter- 3 for $1.75; Mac and cheese -$1.25,,1,1,,,,,,,,"1100 Wildlife Lodge Rd., Lower Burrell, PA",,,American Legion Post 868,1,
86,89,http://levelgreenvfd.org/custom.html?id=19721,,0,1,,,,,,,,"536 State Route 130 Level Green, Pennsylvania",Fire Department,,Level Green VFD,1,
87,90,https://www.facebook.com/336938100039050/photos/a.336960460036814.1073741828.336938100039050/378264089239784/?type=3&theater,,0,1,,https://www.facebook.com/Hartford-Heights-VFD-336938100039050/,,(412) 824-9972,,1,,"14335 U.S. 30, Irwin, PA 15642",Fire Department,,Hartford Heights Volunteer Fire Department,1,
88,91,http://northirwinfire.com/news.html?view=1&id=72836,,0,1,,,,724-863-9889,,1,,"2nd St & Broadway Ave North Irwin, Pennsylvania 15642",Fire Department,,North Irwin VFC,1,
89,92,See their Facebook page (https://www.facebook.com/AdamsburgVfd) for the complete menu.,,1,1,Joint Fish Fry w/ the High Park Volunteer Fire Department ,https://www.facebook.com/AdamsburgVfd,,724-527-2180,,,0,"495 Edna Rd, Adamsburg, Pennsylvania 15611",Fire Department,,Adamsburg VFD,1,
90,93,,,,0,,,,,,,,"890 Rose St, Irwin, PA 15642",,,Fairmont-Hahntown VFD,0,
91,94,http://manorvfd.org/news.html?view=1&id=76869,,,1,,http://manorvfd.org/news.html?view=1&id=76869,,,,1,,"44 Main St, Manor, PA 15665",Fire Department,,Manor Volunteer Fire Department,1,
92,95,see website link,,0,1,"4-7 pm biweekly: March 3, 17, 31; April 14",http://www.bridgevillevfd.com/2017fishfrymenu.pdf,,,,,0,"370 Commercial Street, Bridgeville, PA",Fire Department,,Bridgeville Volunteer Fire Department,1,
93,96,Platters (include cole slaw and choice of homemade chips or fries): Baked or Fried Fish Sandwiches $9.00 - Shrimp Basket $7.50 | Entrees: Fish Sandwich (Fried or baked) $7.50 - Shrimp Basket $6.50 - Pierogies $6.00 | Sides: Homemade Chips $2.00 - Fresh Cut Fries $2.00 - Macaroni & Cheese $3 - Homemade Haluski $3 - Homemade Cole Slaw $1,0,0,1,"Fish Fry starts Ash Wednesday 3-8pm-Every Friday following 4-8pm, Good Friday will be 2-7pm, The upstairs is Open to the public. Eat in or take out available. CASH ONLY.  Proceeds are to benefit the local veterans.",,,,,,,"2409 Bethel Church Rd., Bethel Park, PA 15102",Community Organization,Guests should enter through the Front Porch entrance.,"American Legion Post 760, Bethel Park",1,
94,97,See website for menu,0,0,1,,http://www.trinitychurchlb.net/fishfry/,,"Call 724-230-0866, Text 412-327-3000",,0,0,"3400 Garvers Ferry Rd., Lower Burrell, PA",Church,,Trinity United Christian Church,1,
95,99,https://wholey.com/kitchen-menu/,1,1,1,,https://wholey.com/kitchen-menu/,,412-391-3737,,1,0,"1711 Penn Avenue, Pittsburgh, PA",,,Robert Wholey & Co Inc,1,
96,100,See Website,0,1,1,"""Deliciously Famous""",http://swissvalefire.org/,,4122718787,,1,0,"7400 Irvine Street, Pittsburgh, PA 15218",Fire Department,,Swissvale Fire Department,1,
97,101,"Large Fish Sandwich - $11; Small Fish Sandwich - $8; Grilled Cod - $11; Toasted Cheese Sandwich - $6; Each meal comes with 2 sides (choose from fries, homemade mac & cheese, stewed tomatoes, coleslaw). A la carte sides - $3 each",,0,1," Come get your Lenten Fish Fry on with Allegheny Elks on the Northside. Every Friday, March 3rd through April 14th.",https://www.facebook.com/alleghenyelks/,,412-321-1834,0,1,1,"400 Cedar Avenue, Pittsburgh, PA",Community Organization,,Allegheny Elks Lodge #339,1,
98,102,See their Facebook page,,0,1,Fridays 4pm to 8pm March 3rd to April 14th,,,724-824-3210,,1,0,"308 W. New Castle St., Zelienople, PA",Community Organization,,Zelienople Memorial Skate Park,1,
99,103,*Fish sandwiches *Baked fish *Homemade Haluski *Pierogies *Macaroni and Cheese *Desserts,,0,1,,https://www.facebook.com/Wilpen-VFD-165522976986550/,,724-238-7221,,1,,"379 Wilpen Rd., Ligonier, PA",,,Wilpen VFD,1,
100,104,https://www.facebook.com/BlaineHillVFC/photos/a.346748162112077.1073741829.346723065447920/1244760105644207/?type=3&theater,,0,1,,https://www.facebook.com/BlaineHillVFC/,,,,,,"409 Oxford ave, Elizabeth, PA",Fire Department,,Blaine Hill VFD,1,
101,105,http://www.stsavapa.org/files/Bulletins/St-Sava-Fish-Fry--Menu-2017.pdf,,,1,,,,412-664-0820,,1,,"901 Hartman, Mckeesport, PA",Church,,St. Sava,1,
102,106,Fish platter (fish and slaw and chips): $10. Allegheny River Roll $11. Asian Shrimp skewer salad $11. Pierogies from locally owned Cop Out Pierogies. Homemade mac n cheese.,,1,1,,,,,,,1,"720 Blaw Ave Pittsburgh, Pennsylvania",Restaurant,,Nox's Tavern and Grill,1,
103,107,"Fish or Fish Sandwich Dinner includes a choice of Baked or Fried Fish Fillet, French Fries, Homemade Haluski or Homemade Macaroni and Cheese, and a choice of Applesauce, Coleslaw or Green Beans. Ala carte options include; Homemade Tossed Cheese Pizza $2.00; Homemade Soup of the Week $2.00; Pierogi or Haluski $3.00; Macaroni and Cheese $3.00; French Fries $2.00; Cole Slaw $1.00; Apple Sauce $1.00; Baked or Fried Fish Fillet $6.00; Fish Sandwich $7.00;  Weekly Specials; Adult Fish Dinners $10 - Child`s Dinner $6 - Pierogi Dinner $8; -10 and under-; ; Brownie and Ice Cream included with dine-in dinners; Brownie included with take-out dinners; Ice Cream donated by Ice Box Creamery-",,1,1,https://www.facebook.com/saintferdinandcranberry/photos/a.792356890806571.1073741826.345338188841779/1385459621496292/?type=3&theater,http://stferd.org/,,724-776-2899,,1,,"2535 Rochester Rd Cranberry Township, PA",Church,,St. Ferdinand,1,
104,108,https://www.facebook.com/Wwvfdfishfry/,0,1,1,Homemade Huluski and Local Deliveries.,https://www.facebook.com/Wwvfdfishfry/,,412-646-2594,,1,0,"330 Kline ave, North Versailles, PA",Fire Department,Greensburg Pike at Kline Ave,West Wilmerding VFD Station 211,1,
105,109,https://www.labriolaitalianmarkets.com/products.asp?cat=23,,,1,,,,412-380-9300,,,,"4039 Monroeville Blvd Monroeville, Pa 15146",Restaurant,,Labriola's Italian Market,1,
106,110,https://www.labriolaitalianmarkets.com/products.asp?cat=23,,,1,,,,412-784-0111,,,,"605 Freeport Road Aspinwall, Pa 15215",,,Labriola's Italian Market,1,
107,111,https://www.labriolaitalianmarkets.com/products.asp?cat=23,,,1,,https://www.labriolaitalianmarkets.com/products.asp?cat=23,,412-795-3366,,,,"121 Hulton Road Verona, Pa 15147",Restaurant,,Labriola's Italian Market,1,
108,112," Dinner includes a large piece of haddock, coleslaw, your choice of pierogies, fries or mac &Cheese and a drink for $11.00. Also available are chicken tenders and children's portions.",,1,1,All you can eat fish dinner (for eat in only). ,https://www.facebook.com/Chippewa-Township-Volunteer-Fire-Department-Beaver-Falls-PA-348825468612/,,724-847-0391,,1,,"2568 Darlington Rd, Beaver Falls, PA 15010",Fire Department,,Chippewa VFD,1,
109,113,https://www.facebook.com/187103461330962/photos/a.247929761914998.54354.187103461330962/1384367308271232/?type=3&theater,,,1,,,,724-423-8558,,1,,"2325 Mount Pleasant Rd Mount Pleasant, Pennsylvania",,,Norvelt VFD,1,
110,114,,,,0,,,,,,,,"130 West Main Street Monongahela, PA 15063",Church,,St. Paul's Episcopal Church,0,
111,115,,,,0,,,,,,,,330 weaver run Rd Washington pa 15301,,,Lone Pine VFD Station 50,0,
112,116,,,,0,,,,,,,,"283 Muse-Bishop Road, Muse, PA",,,Muse Italian Club,0,
113,117,,,,0,,,,,,,,"609 Neale Ave. Ford Cliff, Pa.",,,Ford Cliff VFD,0,
114,118,http://www.hcvfd.org/apps/public/news/newsView.cfm?News_ID=145,,0,1,,http://www.hcvfd.org/,,,,,,"1010 Mill St, Harrison City, PA 15636",Fire Department,,Harrison City VFD,1,
115,119,,,,0,,,,,,,,"570 Jackson St Edinburg, Pennsylvania",,,Mahoning Township VFD,0,
116,120,https://www.facebook.com/116733318342068/photos/a.370045689677495.111863.116733318342068/1655755587773159/?type=3&theater,,1,1,,https://www.facebook.com/Washington-Twp-VFC-116733318342068/,,724-929-4172,,1,,"1314 Axton St Belle Vernon, Pennsylvania",Fire Department,,Washington Township VFC,1,
117,121,,,1,1,,http://www.mcginnis-sisters.com/default.aspx,,412-882-6400 ext 3 ,,1,,"3825 Saw Mill Run Blvd, Pittsburgh, PA 15227",Other,,McGinnis Sisters,1,
118,122,,,1,1,,http://www.mcginnis-sisters.com/default.aspx,,412-858-7000 ext 3,,,,"4311 Northern Pike, Monroeville, PA",Other,,McGinnis Sisters,1,
119,123,,,,0,,,,,,,,"700 Adams Shoppes, Mars, PA",,,McGinnis Sisters,0,
120,124,,,,0,,,,,,,,"444 Jackson St, Monongahela, PA 15063",,,Monongahela Elks Lodge,0,
121,125,,,,0,,,,,,,,"530 water street, Brownsville, PA",,,South Brownsville VFC,0,
122,126,,,,0,,,,,,,,"1010 tray rd north huntington, pa",,,Paintertown VFC,0,
123,127,"Fish Fry Menu!!!!!!  Baked Fish Dinner Fried Fish Dinner Fried Fish Sandwich Dinner Shrimp Dinner Fish Sandwich  Side Option 1 includes: coleslaw, parsley potatoes, dessert, drinks your choice of Green Beans or Macaroni and Cheese.  Side Option 2 Includes: coleslaw, French Fries, Dessert, Drinks and your choice of Green Beans or Macaroni and Cheese.  Adult Dinner $9.00 Children $5.75 Take out .50 Extra",,0,1,,,,724-238-5270,,1,,"44 Fire Hall Road, Ligonier, PA",Fire Department,,Ligonier Township VFD #1,1,
124,128,,,,0,,,,,,,,"340 Second Street, Fayette City, PA 15438",,,Fayette City VFC,0,
125,129,https://www.facebook.com/photo.php?fbid=10212631954581625&set=p.10212631954581625&type=3&theater,,0,1,,,,,,1,,"825 Streets Run Road, Pittsburgh, PA",,,Option Independent Fire Company,1,
126,130,,,,0,,,,,,,,"208 Dickens Street, Latrobe, PA 15650",,,Lloydsville VFD,0,
127,131,,,1,1,,,,724-966-7408,,1,,"200 Roosevelt Ave, Nemacolin Pa 15351",Fire Department,,Nemacolin Fire Department,1,
128,132,,,0,1,,https://www.facebook.com/vfd59/,,724-468-9978,,1,,"128 Main Street, Slickville, Pa. 15684",Fire Department,,Salem FD-Slickville VFD,1,
129,133,https://stelizannsetonnhpa.files.wordpress.com/2014/01/fish-fry-menu-2017.pdf,,0,1,,https://seasnh.org,,724-864-6364,,1,,"200 Leger Road North Huntingdon, PA",Church,Mack Hall,St. Elizabeth Anne Seton,1,
130,134,FISH SANDWICH $7.00. FISH DINNER $8.50. EXTRA BUN $0.75. BAKED FISH $8.50. SHRIMP BASKET $6.50. SHRIMP DINNER $8.00. GRILLED CHEESE SANDWICH $3.00. GRILLED CHEESE W/ FRIES $4.25. DEVILED CRAB $2.50. CRAB CAKE $3.00. CRAB CAKE DINNER $7.00. MACARONI and CHEESE $3.75. HALUSKI $3.75. FRENCH FRIES $3.00. CHEESE SAUCE $1.00. COLE SLAW (INCLUDES TWO) $2.75. COFFEE $0.75. 20oz BOTTLES of POP $1.50,,,1,"11-7; Ash Wednesday and Fridays of Lent. Delivery available, $20 minimum",http://skyview4.com/custom.html?id=17408,,412-461-9553 ,,,0,"660 Noble Dr., West Mifflin, PA",Fire Department,,Skyview VFC,1,
131,135,http://coyspizza.com/our-menu/,,1,1,,http://coyspizza.com/,,724-463-9449,,1,,"11919 U.S. 422 Penn Run, PA 15765",,,Coy's Store & Pizza Shop,1,
132,136," LENTEN SPECIALS  -- Fish Dinners  All dinners are served with 1 side item, Cole Slaw, Hush Puppies Roll, & Butter  Seafood Platter…………………………………..$10.99 Seafood Platter….Fish, clam strips & jumbo butterfly shrimp. Jumbo Shrimp Platter (8 jumbo shrimp)…………$9.99 Breaded Cod Dinner (5 oz. portion) ……………..$8.99 Beer Battered Cod Dinner (9 oz. portion)……....$10.99 Baked Cod Dinner (8 oz. portion)………………$10.99 ***Limited supply of baked cod dinners available, so order early!!!!  Choose 1 side: Pierogies Haluski Macaroni & Cheese French Fries  ADDITIONAL GREAT SPECIALS INCLUDE  --$1.00 off all ANY SIZE Pierogie Pizzas & White Pizzas --Shrimp Basket and French Fries $4.99 --Fried Cod Sub $4.25 --Side of Hush Puppies $1.79 --Side of Cole Slaw $1.89 --Side of Haluski, Macaroni & Cheese or Pierogies $2.09",,1,1,,https://www.facebook.com/Official-Coys-Pizza-Six-Pack-Shop-601961369885756/,,,,1,1,"2845 Old Rte 56, Homer City, PA",Restaurant,,Coy's Pizza Shop,1,
133,137,,,0,1,,https://www.facebook.com/BrightonTwpFire/?ref=ts,,724-495-3803,,,,"84 Grange Road Beaver, PA 15009",,,Brighton Township VFD Station 63,1,
134,138,https://www.facebook.com/pages/Mananna-Volunteer-Fire-Department/155045657864372,,1,1,No fish fry March 10th,,,724-267-3112,,1,,"85 Broad Street, Marianna, PA",Fire Department,,Marianna VFC,1,
135,139,https://www.facebook.com/SHOPANDGO/photos/a.165259453529016.63198.119862611402034/1260603760661241/?type=3&theater,,1,1,,https://www.facebook.com/SHOPANDGO/,,412-384-9111,,1,,"2226 PA-837, West Elizabeth, PA 15088",Restaurant,,Shop N Go,1,
136,140,http://sports.bluesombrero.com/Default.aspx?tabid=359491&mid=384902&newskeyid=HN1&newsid=40113129&ctl=newsdetail,,,1,,http://sports.bluesombrero.com/Default.aspx?tabid=359491,,,,,,"Karns Road at Chevrolet Road, Natrona Heights, PA",,,Highland Hornets Youth Football and Cheerleading Fish Fry,1,
137,141,https://www.facebook.com/CALPost705/photos/a.578206219030287.1073741828.334499336734311/602404116610497/?type=3&theater,,0,1,EVERY FRIDAY FROM NOVEMBER 11TH - APRIL 21ST,https://www.facebook.com/CALPost705/,,724-632-9591,,1,,1101 Old National Pike Fredericktown PA 15333,Community Organization,,Centerville American Legion Post 705,1,
138,142,,,,0,,,,,,,,"6810 Rt. 22 Highway East New Florence, PA. 15944",Church,,Faith Lutheran Church,0,
139,143,http://www.thepubchipshop.com/food/,1,1,1,,http://www.thepubchipshop.com/,,412-381-2447,1,1,1,"1830 E Carson St Pittsburgh, Pennsylvania",,,The Pub Chip Shop,1,
140,144,,,,0,,,,,,,,"7205 State Route 22 Greensburg, Pennsylvania",,,My Sister's Bistro,0,
141,145,https://www.facebook.com/keithskatering/photos/pcb.1638585696167981/1638585319501352/?type=3&theater,,1,1,,https://www.facebook.com/keithskatering/,,412-373-6788,,1,,"209 Brinton Ave, Trafford, PA",Restaurant,,Keith Heinritz Katering,1,
142,146,,0,,1,Free in town delivery.  No times listed. Ash Wednesday and every Friday until Good Friday,,,412-372-7040,,1,0,"100 Center Ave., Pitcairn, PA",Fire Department,Behind Sunoco on Broadway,Pitcairn Hose Company #1,1,
143,147,https://www.facebook.com/photo.php?fbid=1466235763388184&set=p.1466235763388184&type=3&theater,,0,1,Free Delivery,https://www.facebook.com/Pitcairn-Fire-Department-Station-230-147323132018875/,,412-856-5630,,1,0,"557 Broadway Blvd., Pitcairn, Pa 15140",Fire Department,Pitcairn Park Building,Pitcairn Station 230,1,
144,148,,,,0,,,,,,,,"1340 Brownstown Rd., Larimer, PA",,,Larimer VFD,0,
145,149,,,,0,,,,,,,,"421 Thornton, Greensburg, PA",,,Hempfield #2 VFD,0,
146,150,,,,0,,,,,,,,"307 Hulton Rd, Verona, Pa. 15147",,,Pirollos Deli,0,
147,151,,,1,1,Call for business deliveries to surrounding areas.  Homemade Huluski and Mac and Cheese,,,412-829-7422,,1,1,"830 Sylvan Ave., North Versailles, PA",Fire Department,SWSC building.  Enter through double doors on Sylvan Avenue.,Fire Department of North Versailles at the South Wilmerding Social Club,1,
148,152,,,,0,,,,,,,,"85 North High Street, Greenville, PA",Church,,St. Michael,0,
149,153,"All Dinners/Platters include 1 side dish, coleslaw, roll, butter and dessert. All you can eat fish dinner $10.75 Seafood platter (fish, crab cake and shrimp $9.00 Fish dinner (breaded and fried) $7.75 Fish sandwich dinner $7.75 Shrimp dinner $7.75 Crab Cake Dinner $7.75 Clam strips dinner $7.75 Shrimp only (6 pieces) $5.50 Clam strip only $5.50 Fish sandwich $5.00 Fish on a dish (1 piece) $3.50 Crab cake on a dish (1 piece) $3.50 Macaroni and Cheese $2.25 French Fries $2.25 Haluski $2.25 Pierogies $2.25 Coleslaw $.75 Dessert $1.00 Pop $1.00 Coffee $.75 Extra Bun $.35",0,1,1,Noon-6 Ash Wednesday and Fridays of Lent,http://www.trinitysheraden.com/UpcomingEvents.htm,,412-331-0600,0,1,0,"3102 Sherwood Ave., Sheraden, PA",Church,Entrance on the side,Trinity Lutheran,1,
150,154,,,,0,,,,,,,,"268 Canal Street Leechburg, PA",,,Leechburg VFC,0,
151,155,,,,0,,,,,,,,"500 Railroad St, Coulter, PA 15028",,,Coulter Fire Department,0,
152,156,,,,0,,,,,,,,"4779 William Flynn Hwy Allison Park, PA 15101",,,UPTown diner (LUNCH ONLY),0,
153,157,see website for menu,,0,1,"4-6:30 PM, Ash Wednesday and Fridays of Lent",https://www.facebook.com/belltwpvfd,,,,1,0,"207 Main Street, Salina, PA 15680",Fire Department,,Bell Township VFD,1,
154,158,See menu on website. Voted GOLD under Best Ethnic category by Tribune Review South Readers.,1,1,1,11th Annual LENTEN KITCHEN and Bake Sale,http://steliasmunhallpa.weebly.com/lenten-kitchen.html,,412-461-9271,,1,0,"4200 Homestead-Duquesne Road, Munhall, PA 15120",Church,,St. Elias Byzantine,1,
155,159,Fish and shrimp available for Lent,,,1,,https://www.facebook.com/American-legion-Post-902-148513762170830/,,,,,,"124 West Pike St., Houston, PA",Community Organization,,American Legion Post 902,1,
156,161,"Fish Dinner  $10.00, Shrimp Dinner $10.00, Fish Sandwich  $7.00, Shrimp (6 pieces) $7.00, French Fries  $2.00, Coleslaw  $2.00, Pierogies 4/$2.00, Macaroni and Cheese  $2.00, Cabbage and Noodles  $2.00, Hush Puppies  $2.00, Desserts  $1.00, Pop/Water  $1.00",,0,1,Avella Vol. Fire Dept. and Avella Area Community Association   Please Join Us Ash Wednesday - March 1st And Every Friday until Easter 11:00 AM to 7:00 PM Eat In or Take out at the AVFD Social Hall. For Deliveries Please Call: 724-587-5870. ,http://avellafire35.org/custom.html?id=22853,,,,,0,"1560 Avella Rd., Avella, PA 15312",Fire Department,,Avella VFD,1,
157,162,,,1,1,"""2017"" FISH FRY DATES: March 3rd, 10th, 17th, 24th, and 31st; April 7th and 14th",http://www.boatlocal.com/bvyc/pages/home,,,,,1,"219 Front St, New Brighton, PA 15066",,,Beaver Valley Yacht Club,1,
158,163,http://niedshotel.myfastsite.com/menu/,,1,1,famous fish sandwich,http://niedshotel.myfastsite.com/,,412-781-9853,,1,1,"5438 Butler St, Pittsburgh, PA 15201",Restaurant,,Nied's Hotel,1,
159,164,"Fish Sandwich , 1 lb Giant Fish Hoagie , Tuna Salad , Homemade Fish Sticks , Shrimp Basket Stuffed Shrimp , Stuffed Flounder , Crab Cakes , Fish Dinner Special Sides: Mac & Cheese , Fresh Cut Fries , Pierogies , Haluksi , New England Clam Chow",1,1,1,Homemade Fish Sticks!,http://www.ourplacehomemade.comcastbiz.net/,,412-646-2786,,,0,"105 Middle Ave., Wilmerding, PA",Restaurant,,Our Place Homemade,1,
160,165,,,,0,,,,,,,,1000 6th avenue Beaver Falls Pa 15010,,,Beaver Falls Elks Lodge 348,0,
161,166,,,,0,,,,,,,,315 Olivia Street McKees Rocks PA,,,Becker's Cafe,0,
162,167,see website link for full menue,,1,1,11am-7pm Ash Wednesday and all Fridays of Lent,https://www.facebook.com/152535481459140/photos/a.544155842297100.1073741825.152535481459140/1354051681307508/?type=3&theater,,,,,0,"10 Main Street Belle Vernon, PA 15680",Fire Department,,Belle Vernon Volunteer Fire Department,1,
163,168,,,0,1,LENTEN DINNERS/ FISH FRY every Friday during Lent.4-7 pm,http://blairsvillefire.com/news.html?view=1&id=76857,,,,,0,"51 West Campbell Street, Blairsville, PA",,,Blairsville Fire Department,1,
164,169,see website link for full menu,,1,1,11-7 pm; Ash Wednesday and every Friday of Lent; the address for this fish fry is uncertain. Please check with Bobtown and Dunkard Volunteer Fire Department before visiting.,,,,,1,0,"1 Larimer Ave Bobtown, Pa 15315",Fire Department,,Bobtown and Dunkard Twp Volunteer Fire (ADDRESS UNCERTAIN),1,
165,170,,,,0,,,,,,,,"1400 Boyle St. Pittsburgh, PA",Church,,Brown Chapel AME Church,0,
166,171,,,1,1,,https://www.facebook.com/BulldogPubPGH/,,412-404-2775,,1,1,"1818 Morningside Ave. Pittsburgh, PA 15206",Restaurant,,Bulldog Pub,1,
167,172,"Several types of traditional fried fish sandwiches, ever popular baked fish dinners after 3pm, and plenty of side dishes.",,1,1,"Ash Wednesday and Fridays during Lent, 11AM-7PM",https://www.facebook.com/calvfd23/,,,,,0,"1000 Wood Street, California PA 15419",Fire Department,,California Volunteer Fire Department,1,
168,173,,,,0,,,,,,,,"451 Racetrack Road, Washington, PA 15301",,,Cambria Suites - Reflect Bistro and Bar,0,
169,174,"Baked fish, fried fish, grilled cheese sandwhiches, mini cheese pizzas and much more we are sure will have something for everyone!! ",,0,1,"March 3-Good Friday we will be hostng Northisde Catholic Schools Fish Fry Fridays at Risen Lord Church on Californis Avenue. Dine in from 3-6:30 or order a family meal for takeout, deliveries wil be made from 3-5pm, within a 5 mile radius from the church, for deliveries please call 4129921360 between 11-2 (on the day of the Fish Fry) to place your orders. We are handicap accesible!! Our hopes are to contiue to serve the community and with that we hope to see you at our Fish Fry Fridays!",https://www.facebook.com/events/459415711115955/,,4129921360,1,,0,"3250 California Avenue, Pittsburgh, PA",Church,,Northside Catholic School (at Risen Lord),1,
170,175,,,,0,Could not find good info on this site or anywhere else on the site.,https://www.facebook.com/StJohnOrthodoxEastPitt,,412-824-0246,,,,"211 Cable Avenue, East Pittsburgh, PA",Church,,"St. John the Baptist Orthodox, East Pittsburgh",0,
171,176,"Fish Dinner $9 includes 2 sides limited quantities of baked fish available, Fish Sandwich Dinner $9 includes 2 sides, Fried Shrimp Dinner $9 includes 2 sides, Fish Sandwich $7, Soup of the Day $3, Side Dishes: Rice $2, French Fries $2, Mac & Cheese $2, Coleslaw $2, Vegetable of the Day $2, Haluski $2, Pierogi 3 $2, Desserts $2",,1,1,Times: March 1  Lunch Only 11AM-2PM; March 3 thru April 7 11AM-7PM ,,,412-431-9351,,,1,"2524 Sarah St., Pittsburgh, PA 15203",Community Organization,Events benefit Holy Trinity.,American Serbian Club,1,
172,177,,,,0,,,,,,,,"7 Chalfonte Ave., West View, PA",Church,,St. Athanasius: Church--GOOD FRIDAY ONLY,0,
173,178,http://www.smomp.org/files/Fish%20Fry%20Menu.pdf,0,,1,,http://www.smomp.org,,,,1,,"131 Bigham, Pittsburgh, PA",Church,,St. Mary of the Mount Church - Sullivan Hall,1,
174,179,http://www.stgregoryrussianchurch.org/fish-fry-english/,0,1,1,Homemade Cheregies!,http://www.stgregoryrussianchurch.org/,,412-462-8256,,1,0,"214 E. 15th Ave, Homestead, PA 15120",Church,,St Gregory Russian Orthodox Church,1,
175,208,"Serving baked or fried fish, french fries, pierogies, macaroni and cheese, green beans, cole slaw, roll, drinks and desserts. Cost is $9 for adult dinner, $4 for kids. Takeout fish sandwich and french fries is $5 from 11 a.m.-1 p.m. only. Phone for takeout sandwich orders only.",,1,1,"Fridays of Lent, except Good Friday, 4-7 p.m. ",,,724-964-8047,,1,,"4019 US-422, Pulaski, PA 16143",Church,,"St. James the Apostle, Pulaski",1,
176,209,,,,1,,,,,,1,,"460 Valleybrook Rd, McMurray, PA 15317",Unsure / N/A,,VFW Post 764,1,
177,210,,,1,1,"Wednesday, March 1st (Ash Wednesday) and every Friday during Lent.",http://rvfc27.com,,724-632-6390,,1,,"14 Firehall Road, Richeyville, PA 15358",Fire Department,,Richeyville VFC,1,
178,211,"Baked or fried fish dinner, with roll or sandwich bun, $7. Also, cole slaw, pierogies, haluski, macaroni and cheese, desserts and canned soda, with coffee, lemon blend or iced tea included with purchase.",,1,1,,,,412-  303-8786,,1,," 219 W Lincoln Ave, McDonald, PA 15057",Church,,"St. Alphonsus, McDonald **Ash Wednesday and Good Friday only**",1,
179,212,,,0,1,,www.stalexis.org,,724-401-1FRY,1,1,,"10090 Old Perry Highway, Wexford, PA",Church,,St. Alexis Church,1,
180,213,https://www.facebook.com/stockdalevfd/photos/a.761528880555444.1073741830.737250029649996/1437486629626329/?type=3&theater,0,1,1,11-7 Ash Wednesday and all Fridays of Lent,http://stockdalevfd.com/,,724-938-3300,,1,,316 Railroad St. Stockdale PA 15483,Fire Department,Located in the Social Hall Annex,Stockdale Volunteer Fire Department,1,
181,214,"baked or fried fish dinner, fried seafood platter, shrimp dinner, baked fish Florentine, crab cake dinner, jumbo fish sandwich, cole slaw, french fries, onion rings, baked potato, homemade pierogies, macaroni and cheese, haluski, pizza.",1,0,1,"To order takeout, call 412-561-0101 from 3:30-6:30 p.m., with orders available for pickup from 4-6:45 p.m.",www.stanneparish.com,,412-561-0101,1,1,1,"4040 Willow Ave, Castle Shannon",Church,"Location is a school, fish fry in the gym",Church of St Anne Fish Fry,1,
182,215,Check out our FB page for the Menu -- White Oak Legion Kitchen! Call ahead for takeout. ,,0,1,Fish Fry at the White Oak American Legion Post 701 Ash Wednesday and Every Friday in Lent (including Good Friday) from 3:00PM - 9:00PM. All proceeds and tips from the fish fry will benefit PA Housing for Homeless Veterans Corporation!  Cash Only - ATM available.,http://www.whiteoakpost701.org,,412-672-7994,,1,,"2813 Capitol St, White Oak, PA 15131",Community Organization,,White Oak American Legion Post 701,1,
183,216,,,1,1,,,,,,,," 120 Abington Dr, McMurray, PA 15317",Church,,"St. Benedict the Abbot, Peters Township",1,
184,217,"Variety of choices available, including baked, breaded or battered fish, jumbo shrimp, crab cakes, pierogies, haluski, macaroni and cheese, personal cheese pizza, french fries and breadsticks.",0,0,1,,www.stbartsparish.com/,,412-242-2511,,,0,"111 Erhardt Dr, Penn Hills, PA 15235",Church,The Fish Fry is in the school cafeteria.,St. Bartholomew,1,
185,218,"Menu includes fish dinners and sandwiches, shrimp, crab cakes, pizza, fresh-cut french fries, macaroni and cheese, cole slaw, haluski, provolone sticks and more.",,1,1,"Ash Wednesday and Fridays of Lent, except Good Friday, 11:30 a.m.-2 p.m. lunch, 4-7 p.m. dinner",,stdamienparish@verizon.net,724-258-7742,,,,"400 Park Ave, Monongahela, PA 15063",Church,,"St. Damien of Molokai, Monongahela",1,
186,219,Fish (cod) jumbo shrimp regular shrimp oysters and other seafoods an more.,,,0,,,,,,,,"737 West Pike Street Houston, PA 15342",Unsure / N/A,,Siwiaks HOMEstyle cooking,0,
187,220,"Menu: fried or baked cod; steamed seasoned shrimp, baked breaded shrimp, fish or shrimp tacos, vegetarian salad in a deep-fried tortilla shell, macaroni and cheese dinner, pizza, clam chowder. Fish dinners include two sides (french fries, baked potato, tater tots, pierogies, macaroni and cheese, applesauce). All dine-in dinners include dessert and beverage. Cost is $10 for adult dinner, $5 for child dinner, $7 for senior dinner and $7.50 for sandwich, with a 10 percent discount for dinners served in hall between 4 and 5 p.m.",,0,1,Special curbside pickup for takeout orders.,www.stcatherineofsweden.org,,412-486-6001,,1,," 2554 Wildwood Rd, Allison Park, PA 15101",Church,In the social hall,St. Catherine of Sweden,1,
